gpu,arm,probe,dtype,size,direction,kind,causal,flops,ms,n_cards
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q4096k4096h8/8d40,fwd_bwd,,True,64424509440.0,4.104655981063843,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q4096k77h8/8d40,fwd,,False,807403520.0,0.08185321973717731,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q4096k77h8/8d40,fwd_bwd,,False,2422210560.0,0.6799360116322835,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h16/16d32,fwd,,False,4294967296.0,0.14704342399324688,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h16/16d32,fwd_bwd,,False,12884901888.0,0.6669653256734211,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h16/16d32,fwd_bwd,,True,6442450944.0,0.49344639778137206,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h16/2d128,fwd,,False,4294967296.0,0.1621858523442195,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h16/2d128,fwd_bwd,,False,12884901888.0,0.6789120038350424,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h16/2d128,fwd_bwd,,True,6442450944.0,0.4804352045059204,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h32/2d80,fwd_bwd,,False,8053063680.0,0.5361760258674622,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h32/4d32,fwd,,False,4294967296.0,0.1457990348994077,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h32/4d32,fwd_bwd,,False,12884901888.0,0.6992213328679402,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h32/4d32,fwd_bwd,,True,6442450944.0,0.5212159752845764,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h32/4d80,fwd,,False,5368709120.0,0.21180800199508665,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h32/4d80,fwd_bwd,,False,16106127360.0,0.9662986596425375,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h32/4d80,fwd_bwd,,True,8053063680.0,0.7334773540496826,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h8/1d80,fwd,,False,10737418240.0,0.41461758613586425,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h8/1d80,fwd,,True,5368709120.0,0.25661439895629884,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h8/1d80,fwd_bwd,,False,32212254720.0,1.9233279824256897,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h8/1d80,fwd_bwd,,True,16106127360.0,1.4020959734916687,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h8/4d80,fwd,,False,5368709120.0,0.21297600269317626,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h8/4d80,fwd_bwd,,False,16106127360.0,0.9919146696726482,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h8/4d80,fwd_bwd,,True,8053063680.0,0.7504213253657023,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h8/8d128,fwd_bwd,,False,6442450944.0,0.3554640014966329,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h9/3d64,fwd,,False,2415919104.0,0.08628312919450842,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h9/3d64,fwd,,True,1207959552.0,0.06926628521510533,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h9/3d64,fwd_bwd,,False,7247757312.0,0.3942240079243978,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q512k512h9/3d64,fwd_bwd,,True,3623878656.0,0.32299886431012836,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q577k577h12/12d64,fwd,,False,16364126208.0,0.6513520002365112,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q577k577h12/12d64,fwd,,True,8182063104.0,0.4341248035430908,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q577k577h12/12d64,fwd_bwd,,False,49092378624.0,2.7529759407043457,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,bf16,q577k577h12/12d64,fwd_bwd,,True,24546189312.0,1.9094240069389343,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q1024k1024h12/12d64,fwd,,False,25769803776.0,0.7856639862060546,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q1024k1024h12/12d64,fwd,,True,12884901888.0,0.4753920078277588,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q1024k1024h12/12d64,fwd_bwd,,False,77309411328.0,3.199488043785095,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q1024k1024h12/12d64,fwd_bwd,,True,38654705664.0,2.056704044342041,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q1024k1024h16/16d64,fwd,,False,8589934592.0,0.2710015892982483,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q1024k1024h16/16d64,fwd,,True,4294967296.0,0.18594909798015247,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q1024k1024h16/16d64,fwd_bwd,,False,25769803776.0,1.091327965259552,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q1024k1024h16/16d64,fwd_bwd,,True,12884901888.0,0.7546240091323853,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q128k128h32/8d128,fwd,,False,4294967296.0,0.15541169276604286,18
NVIDIA_GeForce_RTX_3060_Ti,v1,attn,fp16,q128k128h32/8d128,fwd_bwd,,False,12884901888.0,1.2206079959869385,18
